subject,predicate,object
https://example.org/woolf/work/a-room-of-one-s-own,https://example.org/woolf-ontology#hasManuscript,https://example.org/woolf/resource/fig-ro-page1
https://example.org/woolf/work/a-room-of-one-s-own,https://example.org/woolf-ontology#hasManuscript,https://example.org/woolf/resource/fig-ro-page2
https://example.org/woolf/work/a-room-of-one-s-own,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,https://schema.org/Book
https://example.org/woolf/work/a-room-of-one-s-own,http://purl.org/dc/terms/title,A Room of One's Own
https://example.org/woolf/work/a-room-of-one-s-own,https://schema.org/creator,https://example.org/woolf/person/virginia-woolf
https://example.org/woolf/work/a-room-of-one-s-own,http://purl.org/dc/terms/publisher,https://example.org/woolf/org/hogarth-press
https://example.org/woolf/work/a-room-of-one-s-own,http://purl.org/dc/terms/date,1935
https://example.org/woolf/work/a-room-of-one-s-own,http://www.w3.org/2000/01/rdf-schema#seeAlso,https://dbpedia.org/page/A_Room_of_One's_Own
https://example.org/woolf/work/a-room-of-one-s-own,http://www.w3.org/2000/01/rdf-schema#seeAlso,https://archive.org/details/woolf_aroom
https://example.org/woolf/work/a-room-of-one-s-own,https://schema.org/locationCreated,https://example.org/woolf/place/london
