subject,predicate,object
https://example.org/woolf/work/to-the-lighthouse,https://example.org/woolf-ontology#hasManuscript,https://example.org/woolf/resource/fig-lh-page1
https://example.org/woolf/work/to-the-lighthouse,https://example.org/woolf-ontology#hasManuscript,https://example.org/woolf/resource/fig-lh-page2
https://example.org/woolf/work/to-the-lighthouse,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,https://schema.org/Book
https://example.org/woolf/work/to-the-lighthouse,http://purl.org/dc/terms/title,To the Lighthouse
https://example.org/woolf/work/to-the-lighthouse,https://schema.org/creator,https://example.org/woolf/person/virginia-woolf
https://example.org/woolf/work/to-the-lighthouse,http://purl.org/dc/terms/publisher,https://example.org/woolf/org/hogarth-press
https://example.org/woolf/work/to-the-lighthouse,http://purl.org/dc/terms/date,1927
https://example.org/woolf/work/to-the-lighthouse,http://www.w3.org/2000/01/rdf-schema#seeAlso,https://dbpedia.org/page/To_the_Lighthouse
https://example.org/woolf/work/to-the-lighthouse,http://www.w3.org/2000/01/rdf-schema#seeAlso,http://www.woolfonline.com
https://example.org/woolf/work/to-the-lighthouse,https://schema.org/contentLocation,https://example.org/woolf/place/stives
https://example.org/woolf/work/to-the-lighthouse,https://schema.org/locationCreated,https://example.org/woolf/place/rodmell
