subject,predicate,object
https://example.org/woolf/work/to-the-lighthouse,https://example.org/woolf-ontology#hasManuscript,https://example.org/woolf/resource/fig-lh-page1
https://example.org/woolf/resource/fig-ro-page2,http://purl.org/dc/terms/description,"This page continues the narrative development from the previous manuscript leaf. The writer was adding revisions and new ideas between the lines, in the margins, and on the blank pages. The original image is available at"
https://example.org/woolf/work/1928-diary,http://purl.org/dc/terms/isPartOf,https://example.org/woolf/work/the-diary-of-virginia-woolf
https://example.org/woolf/work/to-the-lighthouse,https://schema.org/creator,https://example.org/woolf/person/virginia-woolf
https://example.org/woolf/org/hogarth-press,https://schema.org/url,https://en.wikipedia.org/wiki/Hogarth_Press
https://example.org/woolf/work/orlando-a-biography,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,https://schema.org/Book
https://example.org/woolf/work/to-the-lighthouse,https://schema.org/locationCreated,https://example.org/woolf/place/rodmell
https://example.org/woolf/work/1928-diary,http://purl.org/dc/terms/publisher,The New York Public Library
https://example.org/woolf/work/mrs-dalloway,http://purl.org/dc/terms/publisher,https://example.org/woolf/org/hogarth-press
https://example.org/woolf/person/virginia-woolf,https://schema.org/deathPlace,https://example.org/woolf/place/rodmell
https://example.org/woolf/place/london,http://www.w3.org/2002/07/owl#sameAs,https://www.geonames.org/2643743/
https://example.org/woolf/work/1928-diary,http://purl.org/dc/terms/date,1928
https://example.org/woolf/work/mrs-dalloway,http://www.w3.org/2000/01/rdf-schema#seeAlso,https://archive.org/details/in.ernet.dli.2015.475974
https://example.org/woolf/work/a-room-of-one-s-own,https://schema.org/creator,https://example.org/woolf/person/virginia-woolf
https://example.org/woolf/work/from-the-diary-of-virginia-woolf,http://www.w3.org/ns/prov#wasDerivedFrom,https://example.org/woolf/work/the-diary-of-virginia-woolf
https://example.org/woolf/resource/fig-ro-page2,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.europeana.eu/schemas/edm/WebResource
https://example.org/woolf/place/rodmell,http://www.w3.org/2003/01/geo/wgs84_pos#lat,50.83917
https://example.org/woolf/work/orlando-a-biography,http://purl.org/dc/terms/date,1928
https://example.org/woolf/person/virginia-woolf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,https://schema.org/Person
https://example.org/woolf/person/virginia-woolf,https://schema.org/deathDate,1941-03-28
https://example.org/woolf/work/to-the-lighthouse,https://schema.org/contentLocation,https://example.org/woolf/place/stives
